event_id,event_name,event_type_description,event_type_main,organizers,region_name,city_name,city_id,venue_id,venue_name,venue_address
555405,de78028d-0309-4dfa-9845-58f8969acb88,концерт,концерты,№3510,Боровлянский край,Каменский,63,2644,"Клуб китаристов ""Наследие"" Инкорпорэйтед","ул. Советская, д. 835 стр. 9"
523654,a1aaf5a7-6cdc-4ecf-973d-01d492c7d58c,спектакль,театр,№1074,Горностепной регион,Каменевовск,57,4318,"Школа сценического мастерства ""Палитра"" Инк","бул. Трудовой, д. 11 к. 4/1"
379721,63a64197-d94a-47e6-9432-f5edf8272ed3,концерт,концерты,№1874,Каменевский регион,Глиногорск,213,2304,"Творческое объединение ""Гармония"" Инк","наб. Партизанская, д. 47"
390166,26af7232-8d79-4c08-b7eb-609c370f6bfe,спортивное мероприятие,спорт,№1541,Каменевский регион,Глиногорск,213,1614,"Культурный центр ""Общие"" Групп","ул. Владимирская, д. 87 стр. 4"
414743,5ec58c69-2ade-45fe-aa32-3646a82f2380,шоу,стендап,№1288,Североярская область,Озёрск,2,986,"Гильдия художников ""Блюз"" Лтд","бул. Сосновый, д. 3 стр. 24"
582361,7f52ef6e-0dd7-4b97-8798-adf047efb226,концерт,концерты,№2459,Каменевский регион,Глиногорск,213,898,"Школа композиции ""Протон"" Лтд","ул. Водопроводная, д. 99 к. 1"
580264,2ffd8dde-18ce-4b7d-b6a1-950201446851,концерт,концерты,№1659,Каменевский регион,Глиногорск,213,3602,"Театр поэзии ""Планета"" Лимитед","ш. Сибирское, д. 65"
172256,593be91c-9f17-4328-a7b4-75ba3debbde4,спектакль,театр,№4913,Североярская область,Озёрск,2,3016,"Театр кукол ""Снег"" Инк","пер. Кузнечный, д. 73 стр. 4"
534631,bb575f90-459d-463b-9a64-56f53e75a7d1,концерт,концерты,№4566,Светополянский округ,Глиноград,54,2681,"Сообщество художников ""Секунда"" Инкорпорэйтед","пер. Астраханский, д. 23"
567631,b0bfef17-6208-413c-afed-635d89647769,шоу,стендап,№1262,Тепляковская область,Горнодолинск,43,1200,"Кинофестиваль ""Территория"" и партнеры","алл. Крестьянская, д. 3 стр. 468"
208368,ba02126b-7509-4181-b4aa-cd9f633903db,концерт,концерты,№1658,Каменевский регион,Глиногорск,213,2574,"Арт-студия ""Формула"" и партнеры","ул. Рылеева, д. 3/7 к. 9"
540229,05b048dc-b340-4dda-bf52-2229978e282e,концерт,концерты,№2770,Североярская область,Озёрск,2,3454,"Ремесленный центр ""Сосна"" Групп","бул. Кутузова, д. 4/1"
