order_id,user_id,created_dt_msk,created_ts_msk,event_id,cinema_circuit,age_limit,currency_code,device_type_canonical,revenue,service_name,tickets_count,total,days_since_prev,curs,revenue_rub,one_ticket_revenue_rub,month,season
1029443,af26d5b5924d2f3,2024-10-11,2024-10-11 18:18:32,384539,нет,0,rub,mobile,52.33,Билеты без проблем,3,1308.33,0.0,19.8829,52.33000183105469,17.443333943684895,2024-10,осень
671177,02812f1183de24c,2024-10-01,2024-10-01 11:53:53,457197,нет,0,rub,mobile,192.25,Билеты в руки,4,3845.05,0.0,19.4525,192.25,48.0625,2024-10,осень
5924904,9e01e5222f47f8c,2024-07-22,2024-07-22 22:57:16,365092,нет,16,rub,desktop,236.32,Билеты без проблем,3,3375.99,,18.4518,236.32000732421875,78.77333577473958,2024-07,лето
5081381,4678368531a1efd,2024-06-08,2024-06-08 19:39:27,518819,нет,16,rub,mobile,686.87,Билеты без проблем,2,4292.95,0.0,19.8618,686.8699951171875,343.43499755859375,2024-06,лето
3834990,0beb8fc0c0a9ce1,2024-07-09,2024-07-09 13:57:18,175247,нет,16,rub,mobile,649.01,Билеты в руки,2,5900.1,0.0,18.5124,649.010009765625,324.5050048828125,2024-07,лето
338692,436a97aa103870f,2024-10-27,2024-10-27 12:40:16,460521,нет,18,rub,mobile,105.01,Мой билет,5,2100.19,0.0,19.9266,105.01000213623047,21.002000427246095,2024-10,осень
5967795,4d00fe2522db569,2024-09-13,2024-09-13 13:16:35,560044,нет,0,rub,desktop,21.25,Билеты в руки,4,1062.36,0.0,19.0758,21.25,5.3125,2024-09,осень
7515438,91a98b70e3f470b,2024-08-24,2024-08-24 16:56:17,460457,нет,6,rub,mobile,1201.48,Дом культуры,4,17164.06,0.0,19.1202,1201.47998046875,300.3699951171875,2024-08,лето
6327540,eb489044f67a814,2024-10-07,2024-10-07 17:30:00,332188,нет,12,rub,mobile,49.21,Билеты без проблем,3,1230.27,0.0,19.6475,49.209999084472656,16.40333302815755,2024-10,осень
7638079,1c2a2133e1df1b4,2024-07-13,2024-07-13 18:19:51,512973,нет,0,rub,mobile,686.39,Весь в билетах,3,5719.93,0.0,18.501,686.3900146484375,228.79667154947916,2024-07,лето
4178785,573898904fd68ae,2024-08-02,2024-08-02 13:39:50,417133,нет,18,rub,mobile,825.11,Весь в билетах,2,7500.97,0.0,18.0997,825.1099853515625,412.55499267578125,2024-08,лето
5298243,02ea4583333f064,2024-08-13,2024-08-13 09:52:28,552150,нет,6,rub,mobile,240.81,Мой билет,1,2006.75,0.0,18.8553,240.80999755859375,240.80999755859375,2024-08,лето
3832873,1021a86d7ee6fb8,2024-07-21,2024-07-21 14:38:29,490890,нет,16,rub,desktop,598.17,Лови билет!,4,14954.21,0.0,18.4518,598.1699829101562,149.54249572753906,2024-07,лето
5060124,2c8092b69b753cc,2024-06-11,2024-06-11 17:39:43,526032,нет,16,rub,desktop,6.43,Билеты в руки,2,160.77,0.0,19.8928,6.429999828338623,3.2149999141693115,2024-06,лето
5701546,0beb8fc0c0a9ce1,2024-09-23,2024-09-23 14:57:37,177816,нет,18,rub,desktop,667.8,Билеты без проблем,2,22259.85,0.0,19.3316,667.7999877929688,333.8999938964844,2024-09,осень
5877808,cdbc02c6ad8087a,2024-10-01,2024-10-01 11:54:11,574431,нет,0,rub,desktop,116.99,Билеты в руки,3,2924.8,0.0,19.4525,116.98999786376953,38.996665954589844,2024-10,осень
3647592,05ba93f1b1e1fdd,2024-07-05,2024-07-05 11:53:32,239619,нет,0,rub,mobile,53.8,Лови билет!,4,1344.92,0.0,18.6471,53.79999923706055,13.449999809265137,2024-07,лето
5711638,cdbc02c6ad8087a,2024-10-22,2024-10-22 07:11:24,455059,нет,0,rub,desktop,117.1,Дом культуры,1,1463.76,0.0,19.8112,117.0999984741211,117.0999984741211,2024-10,осень
5292849,02657ef9050f136,2024-08-30,2024-08-30 17:53:26,317299,нет,12,rub,desktop,1183.35,Край билетов,3,10757.73,,19.0048,1183.3499755859375,394.4499918619792,2024-08,лето
5637543,4f3f26235860f0a,2024-06-24,2024-06-24 13:57:41,515408,нет,12,rub,mobile,86.22,Мой билет,3,4311.21,,19.1383,86.22000122070312,28.740000406901043,2024-06,лето
6134371,cdbc02c6ad8087a,2024-06-25,2024-06-25 20:43:58,475511,нет,6,rub,mobile,793.62,Весь в билетах,3,6613.53,0.0,18.8012,793.6199951171875,264.5399983723958,2024-06,лето
3922628,59f0dd3a2ee0322,2024-07-27,2024-07-27 14:05:00,460567,нет,6,rub,mobile,1744.99,Дом культуры,4,21812.33,0.0,18.0243,1744.989990234375,436.24749755859375,2024-07,лето
5751020,8d52f5c8c871f39,2024-10-04,2024-10-04 11:53:23,336621,нет,12,rub,mobile,1134.68,Облачко,3,8728.29,0.0,19.6648,1134.6800537109375,378.2266845703125,2024-10,осень
6057608,4262437d2f2ed25,2024-07-06,2024-07-06 11:57:49,536190,нет,16,rub,mobile,1144.21,Облачко,3,11442.09,,18.5395,1144.2099609375,381.4033203125,2024-07,лето
8215991,2b8fb6b6aca6ca5,2024-10-11,2024-10-11 22:02:05,572162,нет,18,rub,mobile,863.38,Лови билет!,4,9593.16,0.0,19.8829,863.3800048828125,215.84500122070312,2024-10,осень
1951382,1f5005b3af584c9,2024-09-03,2024-09-03 20:57:07,496402,нет,12,rub,mobile,708.7,Весь в билетах,2,7086.97,1.0,18.6868,708.7000122070312,354.3500061035156,2024-09,осень
3031081,86be2829f1fed9e,2024-10-05,2024-10-05 11:36:19,334144,нет,0,rub,desktop,222.31,Мой билет,3,2223.06,21.0,19.6475,222.30999755859375,74.10333251953125,2024-10,осень
6908932,043ad5de015a5d2,2024-09-03,2024-09-03 11:18:44,564990,нет,0,rub,mobile,77.86,Билеты в руки,2,1946.49,0.0,18.6868,77.86000061035156,38.93000030517578,2024-09,осень
4963467,8187dac4be757a0,2024-07-14,2024-07-14 01:56:30,529973,нет,16,rub,mobile,948.51,Облачко,2,9485.08,0.0,18.501,948.510009765625,474.2550048828125,2024-07,лето
4615061,153c83fe7c8f4e1,2024-10-07,2024-10-07 06:57:11,470563,нет,12,rub,desktop,761.04,Мой билет,2,7610.41,2.0,19.6475,761.0399780273438,380.5199890136719,2024-10,осень
2946227,f69e1833eacc69c,2024-08-07,2024-08-07 23:25:30,356516,нет,16,rub,mobile,1473.59,Весь в билетах,3,12279.95,64.0,17.8486,1473.5899658203125,491.1966552734375,2024-08,лето
1852173,a67fa228226cbf0,2024-10-07,2024-10-07 17:48:00,455619,нет,18,rub,mobile,545.68,Облачко,2,5456.83,9.0,19.6475,545.6799926757812,272.8399963378906,2024-10,осень
8433056,74b0a6a726a1cad,2024-07-18,2024-07-18 16:48:00,310904,нет,6,rub,desktop,1030.82,Лови билет!,5,9371.05,,18.5595,1030.8199462890625,206.1639892578125,2024-07,лето
5213447,c765ab78dc1d2e4,2024-07-03,2024-07-03 17:20:49,71354,нет,16,rub,desktop,1612.96,Мой билет,3,16129.61,1.0,18.5176,1612.9599609375,537.6533203125,2024-07,лето
984290,76a20aa2903dffa,2024-08-11,2024-08-11 09:27:25,275489,нет,12,rub,mobile,145.1,Лови билет!,3,2901.96,0.0,18.4415,145.10000610351562,48.366668701171875,2024-08,лето
3927732,0beb8fc0c0a9ce1,2024-08-05,2024-08-05 17:44:56,521541,нет,12,rub,mobile,759.55,Мой билет,2,6329.56,0.0,18.0536,759.5499877929688,379.7749938964844,2024-08,лето
1722833,036464c007c2130,2024-10-05,2024-10-05 21:57:02,549699,нет,6,rub,mobile,1455.14,Дом культуры,5,18189.22,0.0,19.6475,1455.1400146484375,291.0280029296875,2024-10,осень
419979,f9181346d331074,2024-09-23,2024-09-23 15:13:16,235490,нет,6,rub,desktop,44.92,Прачечная,3,2246.09,2.0,19.3316,44.91999816894531,14.973332722981771,2024-09,осень
5983861,b54dd0cd81121fc,2024-10-20,2024-10-20 09:16:09,471196,нет,0,rub,mobile,110.39,Билеты в руки,3,1839.84,0.0,19.7884,110.38999938964844,36.79666646321615,2024-10,осень
